SIRET,NOM FOURNISSEUR,RAISON SOCIALE,CODE POSTAL,VILLE,PAYS,NAF code
712000272,AUTOMOBILES LIGIER,AUTOMOBILES LIGIER S A,03200,ABREST,France,Construction de véhicules automobiles
449977131,IGIENAIR,IGIENAIR,78260,ACHERES,France,Autres activités de nettoyage des bâtiments et nettoyage industriel
494336407,SCANWAVE,SCANWAVE,78260,ACHERES,France,Conseil en systèmes et logiciels informatiques
381459825,BERNARD ELECTRICITE,BERNARD ELECTRICITE,35690,ACIGNE,France,Travaux d'installation électrique dans tous locaux
317706943,EUROPCAR,AQUITAINE LOCATIONS AUTOS,47000,AGEN,France,Location de courte durée de voitures et de véhicules automobiles légers
303656888,SASP SUA LG,SPORT UNION AGENAIS,47000,AGEN,France,Activités de clubs de sports
394666994,STE NOUVELLE PIERRE CAYROU,SOCIETE NOUVELLE DEMENAGEMENTS CAYROU,47000,AGEN,France,Services de déménagement
782151088,ALBERT TANDONNET JEAN-BAPTISTE BAST,SCP TANDONNET ET ASSOCIES,47003,AGEN CEDEX,France,Activités juridiques
782150478,CIST 47,CTE INTERENTREPRISES SANTE TRAVAIL,47008,AGEN CEDEX,France,Activité des médecins généralistes
394560320,ETCHEPARE ALU,ETCHEPARE ALU,64120,AICIRITS CAMOU SUHAST,France,Travaux de menuiserie métallique et serrurerie
333904712,IMPRIMERIE BERILLON,IMPRIMERIE BERILLON,63260,AIGUEPERSE,France,Autre imprimerie (labeur)
382607273,ISLES DE STEL,ISLES DE STEL,30220,AIGUES MORTES,France,Transports fluviaux de passagers
817020365,IMPRIMERIE RAULT,IMPRIMERIE RAULT,36140,AIGURANDE,France,Autre imprimerie (labeur)
330265323,ITESOFT,ITESOFT,30470,AIMARGUES,France,Edition de logiciels applicatifs
494306145,GASCOGNE ENERGIES SERVICES - GES,GASCOGNE ENERGIES SERVICES,40800,AIRE SUR L ADOUR,France,Commerce de combustibles gazeux par conduites
651621302,AGENCE GANAY / DAMERIO IMMOBILIER,AGENCE GANAY,13100,AIX EN PROVENCE,France,Administration d'immeubles et autres biens immobiliers
342780939,AJF TOUCAS,AJF TOUCAS,13100,AIX EN PROVENCE,France,Administration d'immeubles et autres biens immobiliers
484766399,CADJI & ASSOCIES,CADJI ET ASSOCIES,13100,AIX EN PROVENCE,France,Activités juridiques
441563384,CAPITAL SANTE,CAPITAL SANTE,13100,AIX EN PROVENCE,France,Edition de logiciels applicatifs
537916074,CEGELEC MAINTENANCE TERTIAIRE SUD E,CEGELEC MAINTENANCE TERTIAIRE SUD EST,13100,AIX EN PROVENCE,France,Travaux d'installation électrique dans tous locaux
378278675,CHABAS ET ASSOCIES,SCP CHABAS ET ASSOCIES,13100,AIX EN PROVENCE,France,Activités juridiques
318761699,DRUJON D'ASTROS BALDO & ASSOCIES,DRUJON D ASTROS BALDO & ASSOCIES,13100,AIX EN PROVENCE,France,Activités juridiques
411831696,FESTIVAL ART LYRIQUE AIX EN PROVEN,(vide),13100,AIX EN PROVENCE,France,(vide)
495079154,FILMS PROTECT,FILMS PROTECT,13090,AIX EN PROVENCE,France,Commerce de détail d'équipements automobiles
489940080,GRAND THEATRE DE PROVENCE GTP,MIRABEAU,13100,AIX EN PROVENCE,France,Gestion de salles de spectacles
551620230,HOTEL RIVIERA LE PIGONNET,HOTEL RIVIERA,13090,AIX EN PROVENCE,France,Hôtels et hébergement similaire
414865857,LE PARC/LE PAYS D'AIX RUGBY CLUB,LE PAYS D AIX RUGBY CLUB,13090,AIX EN PROVENCE,France,Activités de clubs de sports
519526370,LE SEQUOIA DE FOMPEYRE,LE SEQUOIA DE FOMPEYRE,13100,AIX EN PROVENCE,France,Hôtels et hébergement similaire
422081893,MARTINE DESOMBRE & JULIEN DESOMBRE,SCP AVOCATS M DESOMBRE J DESOMBRE,13100,AIX EN PROVENCE,France,Activités juridiques
518626122,QUADRATEK,QUADRATEK,13100,AIX EN PROVENCE,France,"Ingénierie, études techniques"
303528665,ROUGON DE SAINT FERREOL - TOUBOUL,SCP ROUGON ST FERREOL TOUBOUL,13100,AIX EN PROVENCE,France,Activités juridiques
333046944,SUD GESTION IMMOBILIERE,SUD GESTION IMMOBILIERE,13090,AIX EN PROVENCE,France,Administration d'immeubles et autres biens immobiliers
438313843,SYNCHRONE TECHNOLOGIES,SYNCHRONE TECHNOLOGIES,13100,AIX EN PROVENCE,France,Conseil en systèmes et logiciels informatiques
522804418,THE GOLDEN NOISE,THE GOLDEN NOISE,13100,AIX EN PROVENCE,France,Activités spécialisées de design
339202335,F.MOUTOUT J.FONT P.LIOTARD,J FONT P LIOTARD N DIBON HUI JU ASS,13093,AIX EN PROVENCE CEDEX 2,France,Activités juridiques
315549352,ADREXO,ADREXO,13592,AIX EN PROVENCE CEDEX 3,France,Activités des agences de publicité
389386947,ARMAND TRAITEUR,SARL ARMAND TRAITEUR,13851,AIX EN PROVENCE CEDEX 3,France,Services des traiteurs
389557414,CENTAURE PROVENCE MEDITERRANEE,CENTAURE PROVENCE MEDITERRANEE,13799,AIX EN PROVENCE CEDEX 3,France,Formation continue d'adultes
398379222,CIA FRANCE,ALITHYA CONSULTING,13857,AIX EN PROVENCE CEDEX 3,France,Conseil en systèmes et logiciels informatiques
399146356,CONCEPT MULTIMEDIA,CONCEPT MULTIMEDIA,13592,AIX EN PROVENCE CEDEX 3,France,Édition de journaux
410068233,NATIONALE AUTOMOBILE,SOC NATIONALE D AUTOMOBILES,13852,AIX EN PROVENCE CEDEX 3,France,Entretien et réparation de véhicules automobiles légers
429533078,OXAVE CONSULTING,OXAVE CONSULTING,13858,AIX EN PROVENCE CEDEX 3,France,Conseil en systèmes et logiciels informatiques
316811876,REGICOM,REGICOM,13592,AIX EN PROVENCE CEDEX 3,France,Régie publicitaire de médias
782686042,SANTE AU TRAVAIL PROVENCE,SANTE AU TRAVAIL PROVENCE,13799,AIX EN PROVENCE CEDEX 3,France,Activité des médecins généralistes
407986421,THESAURUS,THESAURUS,13857,AIX EN PROVENCE CEDEX 3,France,Conseil pour les affaires et autres conseils de gestion
521168823,EFFICIENCE,EFFICIENCE ERGONOMIE,13545,AIX EN PROVENCE CEDEX 4,France,Conseil pour les affaires et autres conseils de gestion
330013616,GRANDS GARAGES DE PROVENCE,GRANDS GARAGES DE PROVENCE,13547,AIX EN PROVENCE CEDEX 4,France,Commerce de voitures et de véhicules automobiles légers
510687213,CENTURY 21 ALP IMMO GESTION,ALP IMMO GESTION,73100,AIX LES BAINS,France,Agences immobilières
394824015,SOC AIXOISE GESTION IMMOBILIERE,SOC AIXOISE GESTION IMMOBILIERE,73100,AIX LES BAINS,France,Administration d'immeubles et autres biens immobiliers
046520078,BARBOLOSI ET CIE,ENTREPRISE TOUSSAINT BARBOLOSI ET CIE,20090,AJACCIO,France,Travaux de peinture et vitrerie
333383297,CORS ENERGIE ASSISTANCE,CORS ENERGIE ASSISTANCE,20090,AJACCIO,France,Travaux d'installation d'équipements thermiques et de climatisation
411797103,CORSTRANS,CORSTRANS,20090,AJACCIO,France,Activités de sécurité privée
440915072,ENTREPRISE LAURENT,ENTREPRISE LAURENT,20090,AJACCIO,France,Travaux d'installation électrique dans tous locaux
311167787,HOLMAN FENWICK & WILLAN,HOLMAN FENWICK ET WILLAN,EC3N,AL LONDRES,France,Activités juridiques
497848572,ABCD DEMENAGEMENTS,A B C D DEMENAGEMENTS,81000,ALBI,France,Services de déménagement
407957687,DEBARD AUTOMOBILES,DEBARD AUTOMOBILES,81000,ALBI,France,Commerce de voitures et de véhicules automobiles légers
302635180,DUPUY-BONNECARRERE-DUPUY-LINGERI,SCP DUPUY BONNECARRERE SERRES,81000,ALBI,France,Activités juridiques
333034676,MOLINIER DINTILHAC,SARL NOUV MOLINIER DINTILHAC,81000,ALBI,France,Travaux d'installation électrique dans tous locaux
342179785,PALAZY-BRU & ASSOCIES,SCP AVOCATS INTER BARREAUX,81000,ALBI,France,Activités juridiques
431853043,INFOCERT MDI-ALBITECH,(vide),81012,ALBI CEDEX 9,France,(vide)
775629272,ANAIS - ESAT DE GENNEVILLIERS,ASS D ACTION ET D INSERTION SOCIALE,61000,ALENCON,France,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
443784434,CATHRINE LE CARBONNIER,MADAME CATHERINE LE CARBONNIER,61000,ALENCON,France,Activités juridiques
329476600,COMITE DEPARTEMENTAL DE TENNIS,COMITE ORNE TENNIS,61000,ALENCON,France,Activités de clubs de sports
303357495,P.RETAILLE D.LEFEVRE F.GALLOT,RETAILLE LEFEVRE GALLOT,61000,ALENCON,France,Activités juridiques
310914429,CABINET REYNES SIEPRAWSKI,CABINET REYNES,30100,ALES,France,Administration d'immeubles et autres biens immobiliers
318040128,PHILIPPE MAGNE,MONSIEUR PHILIPPE MAGNE,30100,ALES,France,Activités juridiques
775848195,CMIST,CTRE MED INTER TRAVAIL ALES LOZERE,30102,ALES CEDEX,France,Activité des médecins généralistes
530731561,FIDUCEO,FIDUCEO,94140,ALFORTVILLE,France,Programmation informatique
334851755,GUINIER,GUINIER,94140,ALFORTVILLE,France,Travaux d'installation électrique dans tous locaux
329641856,UNITECNIC,UNITECNIC,94140,ALFORTVILLE,France,Fabrication d'autres matériels électriques
439587288,CHEVREAU EMMANUEL,E CHEVREAU CONSEIL FORMATION COACHING,13190,ALLAUCH,France,Formation continue d'adultes
481505261,NOSTRE EVENEMENTS,NOSTRE,13190,ALLAUCH,France,Autres activités récréatives et de loisirs
572176469,PDS CONSEIL,SARL PDS CONSEIL,84210,ALTHEN DES PALUDS,France,Activités des agences de publicité
250100039,SIERA,SI EAUX REG AMBERIEU EN BUGEY,01500,AMBERIEU EN BUGEY,France,"Captage, traitement et distribution d'eau"
478516743,AFRC C/O CALL CENTER,ASS FRANCAISE CENTRES RELATION CLIENTE,80000,AMIENS,France,Autres services personnels n.c.a.
398294041,AGENCE IMMO,AGENCE IMMO,80000,AMIENS,France,Agences immobilières
333622637,BMA SIGN DISPLAY,BMA SIGN DISPLAY,80080,AMIENS,France,Autre imprimerie (labeur)
488747189,BOULHIMSSE ADDA,MONSIEUR ADDA BOULHIMSSE,80090,AMIENS,France,Autres activités de soutien aux entreprises n.c.a.
479938243,COTE PEINT,COTE PEINT,80000,AMIENS,France,Travaux de peinture et vitrerie
391457462,ETS POUCHAIN,ETS POUCHAIN,80090,AMIENS,France,Travaux de peinture et vitrerie
500356316,GOURMET RECEPTION,GOURMET RECEPTION,80000,AMIENS,France,Services des traiteurs
671720092,GUEUDET SARVA,GUEUDET SARVA,80000,AMIENS,France,Commerce de voitures et de véhicules automobiles légers
780685343,LEBEGUE PAUWELS DERBISE,(vide),80000,AMIENS,France,(vide)
311405658,LIGUE DE PICARDIE DE TENNIS,LIGUE DE PICARDIE DE TENNIS,80000,AMIENS,France,Activités de clubs de sports
509542908,MCA,MAISON DE LA CULTURE D AMIENS,80000,AMIENS,France,Arts du spectacle vivant
338255334,SELOSSE-BOUVET & ANDRE,SCP SELOSSE BOUVET ET ANDRE,80000,AMIENS,France,Activités juridiques
780607982,ASMIS,SERVICES MEDICAUX INTERENTREPRISES DE,80001,AMIENS CEDEX,France,Activité des médecins généralistes
